Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),fraction unbound in plasma (fu),MRT (h),terminal  t1/2 (h),MW,HBA,HBD,TPSA_NO,RotBondCount,MoKa.LogP,MoKa.LogD7.4,moka_ionState7.4,moka_ionState7.4_anionic,moka_ionState7.4_cationic,moka_ionState7.4_neutral,moka_ionState7.4_zwitterionic,human VDss (L/kg) / fraction unbound in plasma (fu),human CL (mL/min/kg) / fraction unbound in plasma (fu)
16-acetyl gitoxin,7242-07-1,0.78,0.18,0.07,72.3,51.6,822.98,15,5,209.1,9,0.93,0.93,neutral,0.0,0.0,1.0,0.0,11.142857142857142,2.571428571428571
Abacavir,136470-78-5,0.84,13.0,0.5,1.1,1.0,286.33,7,3,101.9,4,0.99,0.99,neutral,0.0,0.0,1.0,0.0,1.68,26.0
Acamprosate,77337-76-9,0.3,3.75,1.0,1.54,3.2,181.21,5,2,83.5,4,-1.7,-5.2,anionic,1.0,0.0,0.0,0.0,0.3,3.75
Acebutolol,37517-30-9,1.7,10.0,0.74,2.8,3.5,336.43,6,3,87.7,10,1.6,-0.23,cationic,0.0,1.0,0.0,0.0,2.2972972972972974,13.513513513513514
Acecainide (N-acetylprocainamide),32795-44-1,1.9,4.0,0.9,7.9,6.4,277.36,5,2,61.4,7,1.3,-0.26,cationic,0.0,1.0,0.0,0.0,2.111111111111111,4.444444444444445
Acenocoumarol,152-72-7,0.24,1.28,0.02,3.125,7.22,353.33,7,1,106.7,6,2.5,0.12,anionic,1.0,0.0,0.0,0.0,12.0,64.0
Acetaminophen,103-90-2,1.0,5.0,0.52,3.3,2.5,151.16,3,2,49.3,1,0.76,0.76,neutral,0.0,0.0,1.0,0.0,1.923076923076923,9.615384615384615
Acetazolamide,59-66-5,0.37,0.65,0.04,9.5,13.0,222.25,7,2,115.0,2,-1.5,-1.6,neutral,0.0,0.0,1.0,0.0,9.25,16.25
"Acetylcysteine, N-",616-91-1,0.55,3.1,0.17,3.0,5.5,163.19,4,2,66.4,3,-0.53,-3.8,anionic,1.0,0.0,0.0,0.0,3.235294117647059,18.235294117647058
"Acetylmethadol, L-",1477-40-3,8.3,5.4,0.2,26.0,18.0,353.5,3,0,29.5,9,4.5,3.2,cationic,0.0,1.0,0.0,0.0,41.5,27.0
Acetylsalicylic Acid,50-78-2,0.22,12.0,0.68,0.3,0.26,180.16,4,1,63.6,3,1.6,-1.7,anionic,1.0,0.0,0.0,0.0,0.32352941176470584,17.64705882352941
Actisomide,96914-39-5,0.58,6.79,0.7,1.58,1.89,369.54,4,0,35.9,6,4.0,2.6,cationic,0.0,1.0,0.0,0.0,0.8285714285714285,9.700000000000001
Acyclovir,59277-89-3,0.71,4.7,0.85,2.5,2.5,225.2,8,3,114.8,4,-1.7,-1.8,neutral,0.0,0.0,1.0,0.0,0.8352941176470589,5.529411764705883
Adefovir,106941-25-7,0.42,3.7,0.96,1.9,1.6,273.19,9,3,136.4,5,-1.6,-6.8,anionic,1.0,0.0,0.0,0.0,0.4375,3.854166666666667
Adinazolam,37115-32-5,0.98,6.2,0.31,2.6,2.1,351.83,5,0,46.3,3,1.3,1.3,neutral,0.0,0.0,1.0,0.0,3.161290322580645,20.0
Ajmaline,4360-12-7,4.0,9.8,0.24,6.8,7.3,326.43,4,2,46.9,1,1.8,1.5,cationic,0.0,1.0,0.0,0.0,16.666666666666668,40.833333333333336
Albuterol (salbutamol),18559-94-9,1.9,7.8,0.92,4.1,2.4,239.31,4,4,72.7,4,0.63,-1.5,cationic,0.0,1.0,0.0,0.0,2.0652173913043477,8.478260869565217
Alectinib,1256580-46-7,6.35,7.69,0.003,13.77,11.7,482.62,6,1,72.4,4,5.2,4.9,cationic,0.0,1.0,0.0,0.0,2116.6666666666665,2563.3333333333335
Alendronate,66376-36-1,0.33,2.6,0.22,2.1,3.1,249.1,8,6,161.3,5,-3.0,-8.1,anionic,1.0,0.0,0.0,0.0,1.5,11.818181818181818
Alfentanil,71195-58-9,0.45,3.9,0.086,1.9,1.6,416.52,9,0,81.1,9,2.8,2.7,neutral,0.0,0.0,1.0,0.0,5.232558139534884,45.34883720930233
Alfuzosin,81403-80-7,1.5,5.9,0.14,4.2,4.8,389.45,9,2,111.8,8,2.3,1.8,cationic,0.0,1.0,0.0,0.0,10.714285714285714,42.14285714285714
Alinidine,33178-86-8,2.72,12.0,0.4,3.77,3.14,270.16,3,1,27.6,4,3.0,1.7,cationic,0.0,1.0,0.0,0.0,6.8,30.0
Allopurinol,315-30-0,0.58,11.0,0.97,0.88,0.8,136.11,5,2,70.1,0,-1.3,-1.4,neutral,0.0,0.0,1.0,0.0,0.5979381443298969,11.34020618556701
Almitrine,27469-53-0,35.37,0.97,0.01,607.0,1344.0,477.55,7,2,69.2,10,6.0,6.0,neutral,0.0,0.0,1.0,0.0,3536.9999999999995,97.0
Almotriptan,154323-57-6,2.2,8.9,0.6,4.2,3.4,335.46,5,1,56.4,6,1.8,0.63,cationic,0.0,1.0,0.0,0.0,3.666666666666667,14.833333333333334
Alosetron,122852-42-0,1.1,8.7,0.18,2.1,1.6,294.35,5,1,53.9,2,1.4,1.4,neutral,0.0,0.0,1.0,0.0,6.111111111111112,48.33333333333333
Alprazolam,28981-97-7,0.8,0.74,0.29,18.0,12.0,308.76,4,0,43.1,1,2.0,1.9,neutral,0.0,0.0,1.0,0.0,2.7586206896551726,2.5517241379310347
Alprenolol,13655-52-2,3.2,15.0,0.18,3.6,2.5,249.35,3,2,41.5,8,2.4,0.64,cationic,0.0,1.0,0.0,0.0,17.77777777777778,83.33333333333334
Alvimopan,156053-89-3,0.43,5.84,0.2,1.24,5.3,424.53,6,3,89.9,8,3.1,0.28,zwitterionic,0.0,0.0,0.0,1.0,2.15,29.2
Amantadine,768-94-5,6.6,4.8,0.33,23.0,16.0,151.25,1,1,26.0,0,2.5,-0.43,cationic,0.0,1.0,0.0,0.0,19.999999999999996,14.545454545454545
Amdinocillin,32887-01-7,0.37,6.3,0.9,1.0,1.1,325.43,6,1,73.2,3,2.4,0.068,zwitterionic,0.0,0.0,0.0,1.0,0.4111111111111111,7.0
Amikacin,37517-28-5,0.16,1.1,0.88,2.4,2.4,585.6,18,13,331.9,10,-9.0,-9.0,cationic,0.0,1.0,0.0,0.0,0.18181818181818182,1.25
"Aminocamptothecin, 9-",91421-43-1,2.2,6.5,0.003,5.6,7.0,363.37,7,2,105.8,1,1.1,1.1,neutral,0.0,0.0,1.0,0.0,733.3333333333334,2166.6666666666665
"Aminohexanoic acid, 6-",60-32-2,0.39,2.5,0.92,2.6,4.9,131.17,3,2,63.3,5,0.16,-2.1,zwitterionic,0.0,0.0,0.0,1.0,0.42391304347826086,2.717391304347826
Aminolevulinic acid,106-60-5,0.12,1.88,0.88,1.06,0.83,131.13,4,2,80.4,4,-2.0,-2.8,zwitterionic,0.0,0.0,0.0,1.0,0.13636363636363635,2.1363636363636362
"Aminosalicylic acid, 5-",89-57-6,0.33,9.3,0.39,0.59,0.61,153.14,4,3,83.6,1,0.67,-2.6,anionic,1.0,0.0,0.0,0.0,0.8461538461538461,23.846153846153847
Amiodarone ,1951-25-3,60.0,1.9,0.0002,620.0,820.0,645.31,4,0,43.0,11,7.5,6.2,cationic,0.0,1.0,0.0,0.0,300000.0,9500.0
Amiprilose,56824-20-5,1.04,3.48,0.97,5.0,4.07,305.37,7,2,80.6,7,-0.32,-2.4,cationic,0.0,1.0,0.0,0.0,1.0721649484536082,3.5876288659793816
Amitriptyline,50-48-6,8.7,6.1,0.07,24.0,17.0,277.4,1,0,3.2,3,4.6,3.3,cationic,0.0,1.0,0.0,0.0,124.28571428571426,87.14285714285712
Amlodipine,88150-42-9,17.0,7.0,0.005,40.0,34.0,408.88,7,2,99.9,10,2.0,0.44,cationic,0.0,1.0,0.0,0.0,3400.0,1400.0
Amoxicillin,26787-78-0,0.25,3.3,0.85,1.3,1.1,365.4,8,4,133.0,4,0.42,-1.3,zwitterionic,0.0,0.0,0.0,1.0,0.29411764705882354,3.8823529411764706
AMP579,213453-89-5,0.84,12.0,0.03,1.18,1.33,478.01,8,4,112.3,8,2.6,2.6,neutral,0.0,0.0,1.0,0.0,28.0,400.0
Amphetamine (-d),51-64-9,6.1,9.7,0.8,10.0,7.3,135.21,1,1,26.0,2,1.8,-0.64,cationic,0.0,1.0,0.0,0.0,7.624999999999999,12.124999999999998
Amphotericin B,1397-89-3,0.62,0.17,0.03,61.0,40.0,924.08,18,12,319.6,15,3.1,0.41,zwitterionic,0.0,0.0,0.0,1.0,20.666666666666668,5.666666666666667
Ampicillin,69-53-4,0.22,2.8,0.85,1.3,1.4,349.4,7,3,112.7,4,0.85,-0.85,zwitterionic,0.0,0.0,0.0,1.0,0.25882352941176473,3.2941176470588234
Amrinone,60719-84-8,1.3,8.9,0.89,2.4,2.0,187.2,4,2,68.0,1,-0.67,-0.73,neutral,0.0,0.0,1.0,0.0,1.4606741573033708,10.0
Amsacrine,51264-14-3,1.6,4.3,0.029,6.2,4.7,393.46,6,2,80.3,5,4.0,0.85,cationic,0.0,1.0,0.0,0.0,55.17241379310345,148.2758620689655
Amsalog,80841-47-0,0.3,2.6,0.0011,1.9,2.4,464.54,8,3,109.4,6,3.5,0.63,cationic,0.0,1.0,0.0,0.0,272.7272727272727,2363.6363636363635
